image,caption
"Wilson addressing Congress, 1913 LCCN2016844615 (1cd18e7b).jpg","The image is a black and white photograph of a large auditorium filled with people. The auditorium appears to be a government building, as there is a large stage in the center of the room with a podium and a large American flag hanging from the ceiling. The people in the audience are seated in rows of pews, facing the stage. On the left side of the image, there are several people standing at the podium, and on the right side, there is another person standing at a podium. The image appears to have been taken from a high angle, looking down on the audience. The overall mood of the photograph is one of solemnity and solemnity."
"Lined up for start of 250 mile race, (10-26-25) LCCN2016841261 (c3b34d71).jpg","The image is a black and white photograph of a race track. The track is surrounded by a fence and there are several cars lined up on the track. There are several people standing on the right side of the track, watching the cars. On the left side, there is a large crowd of spectators. In the background, there are trees and a body of water. The sky is overcast and the overall mood of the image is somber."
"Police on motorcycles trailing car with smoke), 9-1-23 LOC npcc.09366 (cef9f0dd).jpg","The image is a black and white photograph of a vintage car driving on a street. The car appears to be a 1930s model, with a large front grille and a curved roof. It is driving on the right side of the road, with two men on motorcycles on either side. The man on the left is wearing a suit and a hat, and is riding a motorcycle. The motorcycle is also wearing a helmet and a jacket. The street is lined with trees and buildings, and there is a large plume of smoke coming out of the car's exhaust pipe. The sky is overcast and the overall mood of the image is somber."
"Steuarts Garage, exterior LCCN2016852182 (375715ec).jpg","The image is a black and white photograph of a building named ""Steuart's Garage"". The building is a two-story structure with a flat roof and large windows on the second floor. The front of the building has a sign that reads ""STUART'S GARAGE"" in large letters. There are several cars parked on the street in front of it, including a vintage car and a vintage truck. The street is lined with trees and there are other buildings visible in the background. The photograph appears to be taken from a low angle, looking up at the building."
"White House Police, 5-3-29 LCCN2016843800 (544815a6).jpg","The image is a black and white photograph of a group of men in military uniforms standing in front of a large white building with columns. The men are all wearing dark suits and caps, and some are standing while others are standing. In the center of the group, there is a man in a suit and tie, who appears to be giving a speech or presentation. He is gesturing with his hands as he speaks. The building behind him has multiple windows and columns, and there are trees and bushes in the background. The photograph appears to have been taken in the early 20th century."
"McKechnie, Coolidge, Harris, 10-10-25 LCCN2016841031 (04155c6d).jpg","The image is a black and white photograph of a group of men standing in a crowd. The men are dressed in formal attire, with some wearing hats and others wearing jackets. The man in the center of the image is holding up a peace sign with his right hand, while the man on the left is smiling and looking at the camera. The background is blurred, but it appears to be a baseball stadium with spectators in the stands. The photograph is likely from the early 20th century."
Auto wreck LOC npcc.09083 (bccd8a5c).jpg,"The image is a black and white photograph of a group of men standing around a vintage car on a street. The car appears to be a 1930s model, with a large front grille and a curved roof. The license plate reads ""R4-34-2"" and the car is parked on the side of the road. There are several people standing around the car, some of them are looking at it intently, while others are looking down at the car. In the background, there is a large building with columns and a clock tower. The men are dressed in formal attire, with some wearing hats and others wearing suits. The photograph appears to have been taken in the early 20th century."
"Guy D. Goff, Wisconsin, Member Ship Bd., 12-1-20 LCCN2016844805 (b4c05931).jpg","The image is a black and white photograph of a man sitting in a chair. He is wearing a suit and tie and appears to be in his late 60s or early 70s. He has a serious expression on his face and is looking directly at the camera. The man is bald and has a slight smile on his lips. Behind him, there is a door and a clock hanging on the wall. The photograph is taken in a room with a desk and a chair visible in the background."
"Queen Marie at Tomb of Unknown, 10-19-26 LCCN2016842559 (16f96796).jpg","The image is a black and white photograph of a group of men in military uniforms standing on a set of stairs. The men are wearing caps and are standing in a line, facing the front of the image. They are all facing the same direction and appear to be in a formal setting.

In the center of the group, there is a man in a suit and tie, who is standing at a podium with a microphone in front of him. He is holding a bouquet of flowers and appears to be giving a speech or presentation. Behind him, there are several other men in uniform, some of whom are holding rifles. The background shows trees and a crowd of people, suggesting that the photo was taken in a park or a public space. The image appears to have been taken during a military parade or ceremony."
Private Wilkinson champion recruit of army LCCN2016827798 (f5b5ad4a).jpg,"The image is a black and white photograph of a man standing in front of a car. The car appears to be a vintage model with a large tire on the side. The man is wearing a suit and tie and is standing with his hands in his pockets. He is looking off to the side with a serious expression on his face. Behind him, there are two other men in military uniforms, one of whom is holding a rifle. The background shows trees and a cloudy sky. The image appears to have been taken in a rural area."
H.W. Truesdell LCCN2016846138 (a6780744).jpg,The image is a black and white portrait of a young man. He is wearing a suit with a striped pattern and a white shirt with a black tie. He has a small pocket square on his lapel. The man is looking directly at the camera with a serious expression on his face. The background is plain and the image is framed with a thin black border.
Secty. Daniels & Asst. Secty. Gordon Woodbury LCCN2016828541 (20479b8f).jpg,"The image is a black and white photograph of two men sitting on a leather couch. The man on the left is wearing a suit and tie and is holding a book in his lap. He is looking directly at the camera with a serious expression on his face. The other man is sitting on the right side of the couch with his legs crossed and is also holding a hat in his hand. Both men are wearing suits and appear to be in their late twenties or early thirties. The couch has a high backrest and armrests, and there is a decorative panel on the wall behind them. The room appears to be a formal setting with a chandelier hanging from the ceiling."
"Inga & Laura Bryn, 9-13-23 LOC npcc.09452 (40f24f08).jpg","The image is a black and white photograph of two young women standing on a tennis court. They are both holding tennis rackets in their hands and are posing for the camera. The woman on the left is wearing a long skirt and a blazer with a white collar, while the woman in the middle has a hat with a wide brim. Both women are smiling and appear to be happy. The background shows a fence and trees, suggesting that they are on a sunny day. The photograph appears to be from the early 20th century."
Leibold LOC npcc.12341 (70b20c1b).jpg,The image is a black and white photograph of a baseball player holding a bat. The player is wearing a white uniform with a black cap and is standing on a baseball field. He is holding the bat with both hands and appears to be in the middle of a swing. The background shows a crowd of spectators in the stands. The photograph is signed by the player in the bottom right corner.
"Rep Collins, Detroit, 1924 LOC npcc.11769 (9db9fa04).jpg","The image is a black and white photograph of a baseball player in action. The player is wearing a baseball uniform and a cap, and is standing on a baseball field with a dugout in the background. He is holding a baseball bat in his right hand and appears to be in the middle of throwing the ball. The dugout is empty, with only a few spectators visible in the stands. The sky is overcast and the ground is covered in dirt. The photograph appears to have been taken in the early 20th century."
"Judge McKenzie Moss, 3-12-23 LCCN2016847361 (d2fc33e9).jpg","The image is a black and white photograph of a man sitting at a desk in an office. He is wearing a suit and tie and is holding a pen in his right hand. The man is looking directly at the camera with a serious expression on his face. Behind him, there is a bookshelf filled with books and a fireplace. The desk is covered with papers and there are a few other items on it. The photograph appears to be from the late 19th or early 20th century."
Judge Jno. P. Briscoe LCCN2016846414 (0030bda5).jpg,"The image is a black and white portrait of an elderly man. He is wearing a suit and tie, and his hair is neatly combed back. He has a serious expression on his face and is looking directly at the camera. The background is plain and dark, making the man the focal point of the image. The image appears to be a studio portrait, with no other people or objects in the frame."
"Shriners Parade, Washington, D.C.) Ararat, Kansas City, MO, 6-5-23 LCCN2016826893 (a77e9bd2).jpg","The image is a black and white photograph of a parade on a street. The parade is taking place in a city, with tall buildings on either side of the street. In the center of the image, there is a large crowd of people gathered on the sidewalk, watching the parade. The people are dressed in formal attire, with some wearing hats and others wearing suits.

In the background, there are several large buildings with ornate decorations hanging from them. The sky is overcast and the overall mood of the photograph is somber. The photograph appears to be from the early 20th century, as there are no people visible in the image."
James Harris LOC npcc.03576 (a3cd38c8).jpg,"The image is a black and white portrait of a middle-aged man. He is wearing a suit and tie, with a collared shirt and a pocket square. He has a serious expression on his face and is looking directly at the camera. The background appears to be a room with a wooden door and a window. The man is likely in his late 60s or early 70s."
"Sir Esme Howard with Lord & Lady Cecil at White House reception, 1-1-25 LCCN2016839075 (83b62106).jpg","The image is a black and white photograph of four people standing in front of a tent. The tent appears to be set up on a street, as there is a building visible in the background. The people are dressed in formal attire, with two men and two women. The man on the left is wearing a long coat and a hat with a feather on top, while the man in the middle is holding a cane. The woman on the right is also wearing a top hat and a coat. All four people are looking at the camera and appear to be posing for the photo."
Along the west shore of the B(...) LCCN2016821279 (a4d3e4a8).jpg,"The image is a black and white photograph of a railway track winding through a rocky landscape. The track appears to be in the middle of nowhere, with no other tracks or tracks visible. On the right side of the track, there are several buildings and palm trees, and on the left side, there is a small village or town with a few houses and buildings. The sky is overcast and the overall mood of the image is bleak and desolate."
"Siegmund ""Zishe"" Breitbart, performer-strongman who used his teeth to pull a wagon with 50 persons on board through the streets of Washington, D.C.,) 11-27-23 LCCN2016826933 (7cda3f65).jpg","The image is a black and white photograph of three men in military uniforms. The man in the center is sitting on a chair and is holding onto a chain that is attached to the back of the chair. He is wearing a beret and a jacket with a belt around his waist. The other two men are standing behind him, also wearing berets and jackets. They are also holding onto the chain with their hands. The background is blurred, but it appears to be a building with a window. The men appear to be looking off into the distance."
Harding delivering Inaugural address LOC npcc.03615 (d0c3dfe3).jpg,"The image is a black and white photograph of a group of people standing on the balcony of a building. The balcony is decorated with garlands and an American flag hanging from the ceiling. The building appears to be a neoclassical style with columns and arches. The people are dressed in formal attire, with some wearing hats and others wearing suits. The sky is visible in the background, and the overall mood of the image is somber and celebratory."
"Capt. Jno. W. Downer, Field Artillery LCCN2016826111 (b463800b).jpg","The image is a black and white photograph of a man on a horse. The man is wearing a military uniform and a cap, and is sitting on the back of the horse. He is holding the reins and appears to be in the middle of a training exercise. The horse is standing on a muddy ground, and there is a fence and a building in the background. The sky is overcast and there are trees in the distance. The photograph appears to have been taken in the early 20th century."
"Presentation of Cuban Flag to Senor Don C. Gresado of Cuban Embassy to ladies of United Spanish War veterans, 10-7-24 LCCN2016852758 (822a8cd0).jpg","The image is a black and white photograph of a group of people standing in front of a large white building with arched windows and a flagpole. The building appears to be a government building with a garden and trees in the background. The group is composed of nine women and one man, all dressed in formal attire. The man is standing in the center of the group, holding a flag with a star on it. The women are standing on either side of him, facing the camera. They are all smiling and appear to be posing for the photo. The photograph appears to have been taken in the early 20th century."
"Angelica, Juliette, & Marita Pueyrredon, (4-12-27) LCCN2016843067 (2ff4b575).jpg","The image is a black and white photograph of three women walking on a sidewalk. They are all wearing hats and dresses, and one of them is holding a baby in her arms. The women appear to be of different ages and ethnicities, and they are walking side by side. The sidewalk is lined with trees and there is a car parked on the left side of the image. In the background, there are buildings and a tree-lined street. The photograph appears to be from the early 20th century."
"Jos. B. Tummultz, 12-13-22 LOC npcc.07510 (291c1494).jpg","The image is a black and white photograph of a man standing on the steps of a building. He is wearing a long coat, a hat, and a suit. He has a serious expression on his face and is looking directly at the camera. The building behind him has large windows and a door with a glass panel. The steps are made of stone and there is a pillar on the left side of the image. The photograph appears to be from the early 20th century."
"Navy nurses, Newston Cap, Miss J.B. Bowman, Chief of Nurses & Rose E. Walker LCCN2016842684 (338dd45d).jpg","The image is a black and white photograph of two people, a man and a woman, standing in front of a building. The woman is on the left side of the image, wearing a jacket and has short hair. She is smiling and appears to be giving the man a high-five. The man on the right side is wearing a cap and a cloak, and he is also smiling. The background shows a street with buildings and a fence. The image appears to have been taken in the early 20th century."
"Daniel Webster, 3-13-25 LCCN2016850217 (bfddda33).jpg","The image is a black and white portrait of a man in a formal attire. The man is sitting in a chair with his legs crossed and his hands resting on his lap. He is wearing a dark suit with a white shirt and a black bow tie. He has a serious expression on his face and is looking directly at the camera. The portrait is framed in an ornate silver ornate frame with a gold border. The background is blurred, but it appears to be an indoor setting with a brick wall and a window."
Saml. Gompers LCCN2016848012 (a558bf23).jpg,"The image is a black and white photograph of an elderly man standing on the steps of a building. He is wearing a suit and a hat, and is holding a cane in his left hand. He appears to be in his late 60s or early 70s. The man is looking off to the side with a serious expression on his face. In the background, there is another man standing near the door, pointing towards something. The building has columns and a doormat on the floor."
"Wallace & Warburton, 9-25-23 LCCN2016847976 (1fa2acb7).jpg","The image is a black and white photograph of two men standing in a room. The room appears to be an office or a study, as there is a desk in the foreground with papers and a lamp on it. The men are both wearing suits and are standing side by side, facing the camera. They are both smiling and appear to be posing for the photo.

On the right side of the image, there are bookshelves and a bookshelf with various books on them. On the left side, there is an old-fashioned lamp and a fan hanging on the wall. The walls are painted in a light color, and there are several framed pictures hanging on them, including a portrait of a man in a suit and tie. The overall mood of the photograph is formal and professional."
"Commencement exercises, Annapolis, 6-6-29 LCCN2016843650 (b5421042).jpg","The image is a black and white photograph of a large room with a high ceiling and large windows. The room appears to be a concert hall or auditorium, as there are rows of chairs arranged in rows facing the front of the room. The chairs are covered with white linens and are arranged in a semi-circle around a stage. On the stage, there is a large group of people standing and sitting, with a few people standing at the front. The people are dressed in formal attire, with some wearing suits and others wearing dresses. The stage is decorated with a large banner and a podium, and there are several musicians playing instruments on either side of the stage. The overall atmosphere of the image is one of grandeur and grandeur."
"Wallace, (4-24-24) LCCN2016848967 (37586e9a).jpg",The image is a black and white photograph of a man sitting at a table with two cow figurines on it. The man is wearing a suit and tie and is smiling at the camera. He is standing in front of a park with trees and bushes in the background. The table is covered with a tablecloth and there are two cows standing on either side of the table. The cows are white with black spots and appear to be made of wood. The image appears to be from the early 20th century.
"Liebold, Jeanes, Veach, Wash. LCCN2016840579 (ba2ba1a5).jpg","The image is a black and white photograph of three baseball players standing on a baseball field. They are all wearing striped uniforms with white stripes and black caps. The player on the left is holding a baseball bat, the player in the middle is standing with his hands on his hips, and the third player is standing next to him. All three players are looking directly at the camera with serious expressions on their faces. In the background, there is a large crowd of spectators in the stands. The photograph appears to be from the early 20th century."
"Lt. Col. A.J. Kane, 5-26-22 LOC npcc.06426 (bfd0571b).jpg","The image is a black and white photograph of an elderly man in a military uniform. He is standing in front of a building with a balcony and a tree in the background. The man is wearing a long coat with a high collar and a belt with medals and insignia on it. He has a mustache and is holding a cane in his right hand. He appears to be in his late 60s or early 70s. The photograph is taken from a low angle, looking directly at the camera with a serious expression on his face."
"Chief Rabbis Abraham Yudelovitch & G. Wolf Margolis, 11-10-25 LCCN2016841351 (c022f36d).jpg","The image is a black and white photograph of two elderly men standing side by side. They are both wearing long coats and hats with fur trim. The man on the left has a long beard and is holding a cane in his left hand. He is wearing a suit and tie and has a serious expression on his face. The background appears to be a park or garden with trees and grass. The photograph is taken from a low angle, looking directly at the camera."
"Bus, Washington and Leonardtown, July 1917 LCCN2016852590 (7ee38a96).jpg","The image is a black and white photograph of a vintage car. The car is a two-seater model with a curved roof and a large rear window. It is parked on a dirt road with trees in the background. There are two people sitting in the driver's seat, one of them is wearing a hat and the other is holding a cane. The driver is looking out the window at the trees. The vehicle appears to be in good condition with no visible damage or wear."
"Miss Florence Dearing & Miss Evelyn Morey, 11-1-21 LOC npcc.05253 (84fea4cf).jpg","The image is a black and white photograph of two men and a dog on a street. The men are standing next to each other, both wearing hats and jackets. They are holding bicycles and appear to be posing for the photo. The dog is standing on its hind legs and is looking up at the camera. In the background, there are trees and a building with columns. The sky is cloudy and the overall mood of the image is somber."
Mrs. Weeks at Walter Reed LOC npcc.10060 (1f66612d).jpg,"The image is a black and white photograph of two women walking on a wooden bridge. The woman on the left is wearing a white dress and a white hat, and is holding a bouquet of flowers in her hands. She is walking towards the right side of the image, and the woman in the middle is walking away from the camera. Both women are wearing long dresses and hats, and one of them is carrying a basket of flowers. The bridge appears to be made of wood and has a wooden railing on either side. In the background, there is a building with a porch and a street lamp. The sky is overcast and there are trees and bushes in the background."
"H.F. Stone appearing before Senate Judiciary Committee, 1-28-25 LCCN2016850005 (2274b27f).jpg","The image is a black and white photograph of a man sitting at a desk in a library. He is wearing a suit and tie and is holding a piece of paper in his hand. He appears to be reading or writing something on the paper. There are two other men sitting at the desk in front of him, one of them is looking at the paper and the other is listening attentively. In the background, there is a bookshelf filled with books and a man standing on the right side of the image. The photograph appears to have been taken in the early 20th century."
"Howard University, (Washington, D.C.) LCCN2016824283 (a2aed89f).jpg","The image is a black and white photograph of a group of women working in a laboratory. The women are wearing white lab coats and hats, and are standing in front of long wooden tables with sinks. They are all facing the same direction and appear to be engaged in their work. The room has a high ceiling with a skylight, and there are two pendant lights hanging from the ceiling. The walls are painted white, and the floor is made of wood. The overall atmosphere of the room is clean and well-lit."
The Italian Republican League of N.Y. presents President Coolidge with an original parchment of Lincoln's Gettysburg address LCCN94509238 (fa156ab9).jpg,"The image is a black and white photograph of a group of men standing together and holding a framed certificate. The certificate appears to be an Italian Republican League, as indicated by the text at the bottom of the image. The men are dressed in formal attire, with suits and ties, and are standing in front of a tree-lined background. They are all looking at the certificate with serious expressions on their faces. The photograph is likely from the early 20th century."
"Jno. Crocket, Clerk of Senate, 1-19-27 LCCN2016842850 (fafafa61).jpg","The image is a black and white photograph of a man standing in a room. He is wearing a suit and tie and is holding a piece of paper in his right hand. The man appears to be in his late 60s or early 70s, with a bald head and glasses. He has a serious expression on his face and is looking directly at the camera. The background is blurred, but it seems to be a room with a window and a curtain. The photograph is framed with a thin black border."
"Women's Democratic Nat'l club at Wilson's tomb, 3-7-25 LCCN2016839460 (7a2dbdfa).jpg","The image is a black and white photograph of a group of women standing together in a line. They are all dressed in formal attire, with some wearing hats and others wearing coats. The women are standing in front of a building with a tree in the background. In the center of the group, there is a woman holding a bouquet of flowers. The woman in the center is wearing a long coat and a hat with a feather on top. She is smiling and appears to be posing for the photo. The other women in the group are also smiling and looking at the camera. The photograph appears to have been taken in the early 20th century."
"R. Walton Moore Grout, 10-10-21 LCCN2016845681 (a27035f1).jpg","The image is a black and white photograph of a group of people posing for a group photo in front of a house. The house is a two-story building with a porch and a covered porch. There are around 20 people in the photo, all dressed in formal attire, including suits, ties, and hats. The group is arranged in a semi-circle, with some standing and some sitting on the ground. The people are all facing the camera and appear to be of different ages and ethnicities. The background shows trees and a fence, suggesting that the photo was taken in a park or garden. The photograph appears to be from the early 20th century."
"Idaho-Walace (i.e. Wallace) destroyed by forest fires, 1915 LCCN90715594 (93e957e4).jpg","The image is a black and white photograph of the aftermath of a fire in Idaho. The photograph is taken from a high vantage point, looking down on the city below. The city appears to be in ruins, with buildings and debris scattered across the ground. In the center of the image, there is a large pile of rubble and debris, with a train track running through it. On the left side of the photograph, there are several buildings that have been damaged by the fire, and on the right side, there appears to have been demolished. The sky is overcast, and there are trees and hills in the background. The caption on the photograph reads ""Idaho - Wallace, Destroyed by forest fires 1915. 6x6 644."""
"Senators Geo. E. Chamberlain, Chas. S. Thomas of Colo., Jas. H. Brady of Idaho LCCN2016825971 (db3776fb).jpg","The image is a black and white photograph of four men sitting at a long desk in an office. The desk is covered with papers and documents, and there are several chairs around it. The men are all wearing suits and appear to be in their late twenties or early thirties. They are all looking at the camera and seem to be engaged in a serious conversation. The room has large windows with intricate designs on the walls and a chandelier hanging from the ceiling. The overall mood of the image is formal and professional."
"Col. Edward Clifford, 5-4-21 LOC npcc.04093 (38650737).jpg","The image is a black and white photograph of a man sitting at a desk. He is wearing a suit and tie and is holding a pen in his right hand. He appears to be deep in thought, with a serious expression on his face. The desk is covered with papers and there is a chair next to it. The background is blurred, but it seems to be a room with a window. The photograph is framed with a thin black border."
C&P Tel. Co. dispensary LCCN2016823824 (22970bf6).jpg,"The image is a black and white photograph of a dental clinic. The room has a white wall with a window on the right side. On the left side of the room, there is a sink with a faucet and a mirror above it. Next to the sink, there are two white dental chairs with a curved backrest and armrests. In front of the chairs, there appears to be a table with various dental tools and equipment on it. The floor is made of wood and the walls are painted white. The overall style of the dental clinic is modern and minimalistic."
Morris Plan Bank LCCN2016825454 (79dff900).jpg,"The image is a black and white photograph of a large room with a high ceiling and white walls. The room appears to be an office or a reception area with a long desk and a chair in the center. On the left side of the image, there is a long counter with multiple windows that let in natural light. Above the counter, there are several pendant lights hanging from the ceiling. The floor is covered with a light-colored carpet. The walls are painted white and there are large columns on the right side. The overall atmosphere of the room is modern and spacious."
"McNamara, C.U., 1920 LCCN2016829247 (cd0eac63).jpg",The image is a black and white photograph of a young man throwing a football. He is standing on a field with other players in the background. The man is holding the football in his right hand and is in the process of throwing it with his left arm. He has a serious expression on his face and is looking directly at the camera. The photograph appears to be from the early 20th century.
"Sesostris(?) Temple, Lincoln, Neb., 5-6-23 LCCN2016847652 (116654b9).jpg","The image is a black and white photograph of a parade on a city street. The parade is taking place in a large square with tall buildings on either side. In the center of the square, there is a large group of people marching in formation. The people are dressed in formal attire and are carrying flags and banners. On the left side of the image, there are several large buildings with ornate architectural details, including a large sign that reads ""Carnival."" On the right side, there appears to be a large building with a dome-shaped roof and a clock tower. The sky is overcast and there are trees lining the street. At the bottom of the photograph, a crowd of people can be seen watching the parade."
"Ellis Bostrom, (10-14-26) LCCN2016842414 (a8cd47bd).jpg",The image is a black and white photograph of a woman sitting on the steps of a building. She is wearing a long-sleeved dress with a high neckline and a wide-brimmed hat with a wide brim. The dress is knee-length and falls above her knees. She has a pair of high-heeled shoes on her feet and her legs are crossed in front of her. The woman is looking directly at the camera with a serious expression on her face. The background shows a building with a window and a potted plant on the left side of the image. The photograph appears to be from the early 20th century.
"Wilbur D. Nesbit of Md., 12-4-25 LCCN2016841481 (cropped) (78e66f0a).jpg","The image is a black and white portrait of a middle-aged man. He appears to be in his late 60s or early 70s, with short, neatly combed hair and a serious expression on his face. He is wearing a collared shirt, a vest, and a tie with a striped pattern. The background is blurred, but it seems to be an outdoor setting with a building visible in the distance. The man is looking directly at the camera with a slight smile on his lips."
"The toy shop, 1207 N.Y. Ave., (Washington, D.C.) LCCN2016825545 (9b934a9f).jpg","The image is a black and white photograph of a street scene. It shows a two-story building with a balcony on the second floor. The building has a sign that reads ""Dining Room"" and there is a tree on the left side of the image. On the right side, there is another building with the same sign. In front of the building, there are two horses pulling a carriage. The sky is overcast and the street is empty. The photograph appears to be taken from a low angle, looking up at the building."
Boys working Reserve LCCN2016826245 (828ce145).jpg,"The image is a black and white photograph of a group of people sitting and standing in front of a large tent. The tent appears to be set up on a grassy field with trees in the background. There are several people sitting on the ground, some standing, and some sitting on benches. Some of the people are wearing hats and jackets, while others are wearing casual clothing. There is a tree on the left side of the image and a fence on the right side. The sky is overcast and the overall mood of the photograph is somber."
"Huck, 11-24-22 LOC npcc.07386 (86281723).jpg","The image is a black and white portrait of a man. He is sitting in a chair with his legs crossed and his hands resting on his lap. The man is wearing a suit with a striped pattern and a tie. He has short, neatly combed hair and is looking directly at the camera with a serious expression. The background is blurred, but it appears to be a room with a window and a door."
"Col. Quickmeyer, horseshow, 1921 LCCN2016845321 (0ce2166b).jpg","The image is a black and white photograph of a crowd of people gathered around a horse-drawn carriage. The carriage is parked on a dirt field with trees in the background. The sky is cloudy and there is a large plume of smoke rising from the carriage. In the center of the image, there are several people on horseback, some of whom are wearing hats and jackets. The people in the crowd appear to be watching the carriage ride. The image appears to be from the early 20th century."
Proposed Masonic Temple LCCN2016824941 (108eeb1f).jpg,"The image is a black and white photograph of a model of a large building with a tall tower in the center. The building appears to be a college or university campus, with multiple levels and multiple floors. The tower is tall and pointed, with a pointed top and a pointed bottom. It is surrounded by several smaller buildings and structures, including a large courtyard with trees and shrubs. The courtyard is divided into two sections, with roads and pathways leading up to it. The buildings are arranged in a symmetrical pattern, with some buildings on the left side and others on the right side. The image is taken from a high angle, looking down on the model. The background is a plain white wall, and the overall mood of the image is peaceful and serene."
"Demonstration at the Red Cross Emergency Ambulance Station in Washington, D.C., during the influenza pandemic of 1918 LCCN2016844533 (cropped) (72337e77).jpg","The image is a black and white photograph of a group of four people, two women and two men, standing around a man lying on a stretcher. The man is covered with a blanket and appears to be unconscious. The women are wearing hats and coats, and one of them is wearing a face mask. They are looking at the man with concern. In the background, there is a truck and a tree. The photograph appears to have been taken in a rural area, possibly in the early 20th century."
Am. Red Cross LOC npcc.11522 (cdd632aa).jpg,"The image is a black and white photograph of two men in a cemetery. They are both wearing hats and coats, and one of them is bending down to pick up a wreath made of feathers. The wreath is resting on a grassy field, and there are several headstones in the background. The men appear to be looking at the wreath with interest. The photograph appears to be from the early 20th century."
"Knud Rasmussen with eskimos, Mrs. Arnalulunguak & Mr. Meetek, 11-3-24 LOC npcc.12521 (cbe0daf8).jpg","The image is a black and white photograph of three people standing on a sidewalk. The person on the left is a young man wearing a suit and tie, the person in the middle is a middle-aged woman wearing a long skirt and a blouse, and the person at the far right is a younger man. All three are wearing suits and ties. They are standing close together and appear to be posing for the photo. In the background, there are buildings and a car parked on the street. The photograph appears to be from the early 20th century."
"K.P. Royce of Graybear Electric Co. making survey of noises, 2-18-26 LCCN2016841815 (644d2f6b).jpg","The image is a black and white photograph of a man sitting on the ground in front of the White House. The man is wearing a suit and a hat, and is holding a briefcase in his hand. He appears to be deep in thought, with his head resting on his knees and his eyes closed. In front of him, there is a small black box with a wire attached to it. The box is placed on the pavement, and there are two pillars on either side of the man. The White House is visible in the background, with its white columns and the American flag flying on top. The sky is overcast and the ground is wet, suggesting that it has recently rained."
"Hackett Motor Car Co., Jackson, Mich. LCCN2016824546 (818b696a).jpg","The image is a black and white photograph of a large room with wooden flooring and walls. In the center of the room, there are several large engines arranged in a row on wooden pallets. The engines appear to be old and weathered, with some of them having rust and wear on them. On the right side of the image, there is a workbench with various tools and equipment on it. The room appears to be a workshop or garage, with a large window on the left side and a door on the far wall. The overall atmosphere of the space is cluttered and disorganized."
Wm. J. Enips(?) Bijan(?) LCCN2016823839 (27e9e9f2).jpg,"The image is a black and white photograph of an elderly man sitting at a desk. He is wearing a suit and tie and has a serious expression on his face. The man is holding a piece of paper in his right hand and appears to be reading it intently. On the desk in front of him, there is a lamp with a white shade and a stack of papers. The background is plain and the overall mood of the image is somber."
"Alexandro Cautacuzene, Balasheff, 10-1-23 LOC npcc.09598 (fdf765d7).jpg","The image is a black and white photograph of a young woman sitting on a grassy field. She is wearing a long-sleeved shirt, a headband, and a necklace. Her legs are crossed and she is holding a pair of shoes in her hands. She has a serious expression on her face and is looking directly at the camera. The background is blurred, but it appears to be a park or garden with trees and bushes. The photograph is framed by a thin black border."
Edwards boy golf LOC npcc.04480 (f67afcda).jpg,"The image is a black and white photograph of a young boy playing golf. He is standing on a grassy field with trees in the background. The boy is holding a golf club in his right hand and a golf bag in his left hand. He appears to be in the middle of a swing, with his left leg extended forward and his right leg bent at the knee. He has a serious expression on his face and is looking towards the right side of the image."
Hessick Coal Co. LCCN2016825181 (66ce9e45).jpg,"The image is a black and white photograph of a coal mine. The photograph is taken from a low angle, looking up at the entrance of the mine. On the left side of the image, there is a building with a sign that reads ""W.H. Hessick & Son. Coal."" On the right side, there are several piles of coal and a large crane. In the center of the photograph, there appears to be a car parked in front of the building. The sky is overcast and the ground is covered in gravel."
"Miss Jessie Dell, Civil Service Commissioner, (9-18-25) LCCN2016840782 (325ed751).jpg","The image is a black and white portrait of a middle-aged woman. She appears to be in her late 60s or early 70s, with short, curly hair and a slight smile on her face. She is wearing a striped blouse and a necklace. The background is blurred, but it seems to be an outdoor setting with a building visible in the distance. The woman is looking directly at the camera with a serious expression."
Lincoln during his first year in W.H. LCCN2016821198 (643d0a58).jpg,"The image is a black and white portrait of Abraham Lincoln, the 16th President of the United States. He is shown from the waist up, sitting at a desk with a serious expression on his face. He has a full beard and mustache, and his hair is neatly combed back. Lincoln is wearing a dark suit with a white shirt and a black bow tie. The background is plain and the image is framed with a thin black border."
"Times, 16th & Meridian, (Washington, D.C.) LCCN2016852295 (d6eaa529).jpg","The image is a black and white photograph of a large brick building on a street corner. The building appears to be a two-story structure with a flat roof and multiple windows. It has a large chimney on the left side and a small porch on the right side. The street is lined with trees and there is a sidewalk in front of the building. The sky is overcast and the ground is wet, suggesting that it has recently rained. The photograph is taken from a low angle, looking up at the building from the street."
"""Oscar"" of Waldorf Astoria LCCN2016848257 (db9f5919).jpg","The image is a black and white photograph of a man standing in a park. He is wearing a coat and a top hat, and is standing with his hands in his pockets. He has a serious expression on his face and is looking directly at the camera. The background is blurred, but it appears to be a park with trees and grass. The photograph is framed by a thin black border."
"Flag Day, No. West Cit. Assn., 6-14-23 LOC npcc.08893 (44a4a6a9).jpg",The image is a black and white photograph of a group of children standing in a line in front of a large house. The children are holding American flags and appear to be participating in a parade or rally. The house is a two-story building with a porch and a chimney. The sky is cloudy and there are trees in the background. The photograph appears to be from the early 20th century.
